LABEL                          USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
u:r:platform_app:s0:c512,c768  u0_a108      26722 26692       0      0 0                   0 Z [byd.droneclient]
u:r:untrusted_app_29:s0:c61,c256,c512,c768 u0_a61 26746 126 1403048 68764 0                0 S com.qualcomm.qti.qms.service.connectionsecurity
u:r:untrusted_app_29:s0:c96,c256,c512,c768 u0_a96 26772 125 8305508 187492 0               0 S com.tencent.mm:push
u:r:untrusted_app:s0:c143,c256,c512,c768 u0_a143 26905 125 8092072 217956 0                0 S ru.yandex.yandexmaps
u:r:untrusted_app:s0:c143,c256,c512,c768 u0_a143 27016 125 7751772 190104 0                0 S ru.yandex.yandexmaps:AppMetrica
u:r:untrusted_app:s0:c143,c256,c512,c768 u0_a143 27034 125 7621364 189692 0                0 S ru.yandex.yandexmaps:passport
u:r:system_app:s0              system       27213   125 6245836 101208 0                   0 S com.byd.silentinstaller
u:r:system_app:s0              system       27256   125 6285116 110280 0                   0 S com.byd.bluetoothleservice
u:r:system_app:s0              system       27289   125 6411980 122812 0                   0 S com.byd.miniprogram
u:r:priv_app:s0:c512,c768      u0_a52       27323   125 25543748 292816 0                  0 S com.alipay.arome.app
u:r:untrusted_app_27:s0:c139,c256,c512,c768 u0_a139 27881 125 7157328 218764 0             0 S com.van.diplus:remote
u:r:untrusted_app_27:s0:c139,c256,c512,c768 u0_a139 28110 27881 2189228 3604 0             0 R logcat
u:r:cloudmanager:s0            root         31484     1 3082752  33284 0                   0 S cloudmanager
